name= Base | position= (100,100) : 101 : 101 | Health=10000 Placesd
attacker: name= Tesla Tank  | position= (80,89) : 41 : 41 | Health=1000  < moved >  From (80,90)
attacker: name= Tesla Tank  | position= (80,88) : 41 : 41 | Health=1000  < moved >  From (80,89)
attacker: name= Tesla Tank  | position= (80,87) : 41 : 41 | Health=1000  < moved >  From (80,88)
attacker: name= Tesla Tank  | position= (80,86) : 41 : 41 | Health=1000  < moved >  From (80,87)
attacker: name= Tesla Tank  | position= (80,85) : 41 : 41 | Health=1000  < moved >  From (80,86)
attacker: name= Tesla Tank  | position= (80,84) : 41 : 41 | Health=1000  < moved >  From (80,85)
attacker: name= Tesla Tank  | position= (80,83) : 41 : 41 | Health=1000  < moved >  From (80,84)
attacker: name= Tesla Tank  | position= (80,82) : 41 : 41 | Health=1000  < moved >  From (80,83)
attacker: name= Tesla Tank  | position= (80,81) : 41 : 41 | Health=1000  < moved >  From (80,82)
attacker: name= Tesla Tank  | position= (80,80) : 41 : 41 | Health=1000  < moved >  From (80,81)
attacker: name= Tesla Tank  | position= (80,79) : 41 : 41 | Health=1000  < moved >  From (80,80)
attacker: name= Tesla Tank  | position= (80,78) : 41 : 41 | Health=1000  < moved >  From (80,79)
attacker: name= Tesla Tank  | position= (80,77) : 41 : 41 | Health=1000  < moved >  From (80,78)
attacker: name= Tesla Tank  | position= (80,76) : 41 : 41 | Health=1000  < moved >  From (80,77)
attacker: name= Tesla Tank  | position= (80,75) : 41 : 41 | Health=1000  < moved >  From (80,76)
attacker: name= Tesla Tank  | position= (80,74) : 41 : 41 | Health=1000  < moved >  From (80,75)
attacker: name= Tesla Tank  | position= (80,73) : 41 : 41 | Health=1000  < moved >  From (80,74)
attacker: name= Tesla Tank  | position= (80,72) : 41 : 41 | Health=1000  < moved >  From (80,73)
attacker: name= Tesla Tank  | position= (80,71) : 41 : 41 | Health=1000  < moved >  From (80,72)
attacker: name= Tesla Tank  | position= (80,70) : 41 : 41 | Health=1000  < moved >  From (80,71)
attacker: name= Tesla Tank  | position= (80,69) : 41 : 41 | Health=1000  < moved >  From (80,70)
attacker: name= Tesla Tank  | position= (80,68) : 41 : 41 | Health=1000  < moved >  From (80,69)
attacker: name= Tesla Tank  | position= (80,67) : 41 : 41 | Health=1000  < moved >  From (80,68)
attacker: name= Tesla Tank  | position= (80,66) : 41 : 41 | Health=1000  < moved >  From (80,67)
attacker: name= Tesla Tank  | position= (81,66) : 41 : 41 | Health=1000  < moved >  From (80,66)
attacker: name= Tesla Tank  | position= (82,66) : 41 : 41 | Health=1000  < moved >  From (81,66)
attacker: name= Tesla Tank  | position= (83,66) : 41 : 41 | Health=1000  < moved >  From (82,66)
attacker: name= Tesla Tank  | position= (84,66) : 41 : 41 | Health=1000  < moved >  From (83,66)
attacker: name= Tesla Tank  | position= (85,66) : 41 : 41 | Health=1000  < moved >  From (84,66)
attacker: name= Tesla Tank  | position= (86,66) : 41 : 41 | Health=1000  < moved >  From (85,66)
attacker: name= Tesla Tank  | position= (87,66) : 41 : 41 | Health=1000  < moved >  From (86,66)
attacker: name= Tesla Tank  | position= (88,66) : 41 : 41 | Health=1000  < moved >  From (87,66)
attacker: name= Tesla Tank  | position= (89,66) : 41 : 41 | Health=1000  < moved >  From (88,66)
attacker: name= Tesla Tank  | position= (90,66) : 41 : 41 | Health=1000  < moved >  From (89,66)
attacker: name= Tesla Tank  | position= (90,67) : 41 : 41 | Health=1000  < moved >  From (90,66)
attacker: name= Tesla Tank  | position= (90,68) : 41 : 41 | Health=1000  < moved >  From (90,67)
attacker: name= Tesla Tank  | position= (90,69) : 41 : 41 | Health=1000  < moved >  From (90,68)
attacker: name= Tesla Tank  | position= (90,70) : 41 : 41 | Health=1000  < moved >  From (90,69)
attacker: name= Tesla Tank  | position= (90,71) : 41 : 41 | Health=1000  < moved >  From (90,70)
attacker: name= Tesla Tank  | position= (90,72) : 41 : 41 | Health=1000  < moved >  From (90,71)
attacker: name= Tesla Tank  | position= (90,73) : 41 : 41 | Health=1000  < moved >  From (90,72)
attacker: name= Tesla Tank  | position= (90,74) : 41 : 41 | Health=1000  < moved >  From (90,73)
attacker: name= Tesla Tank  | position= (90,75) : 41 : 41 | Health=1000  < moved >  From (90,74)
attacker: name= Tesla Tank  | position= (90,76) : 41 : 41 | Health=1000  < moved >  From (90,75)
attacker: name= Tesla Tank  | position= (90,77) : 41 : 41 | Health=1000  < moved >  From (90,76)
attacker: name= Tesla Tank  | position= (90,78) : 41 : 41 | Health=1000  < moved >  From (90,77)
attacker: name= Tesla Tank  | position= (90,79) : 41 : 41 | Health=1000  < moved >  From (90,78)
attacker: name= Tesla Tank  | position= (90,80) : 41 : 41 | Health=1000  < moved >  From (90,79)
attacker: name= Tesla Tank  | position= (90,81) : 41 : 41 | Health=1000  < moved >  From (90,80)
attacker: name= Tesla Tank  | position= (90,82) : 41 : 41 | Health=1000  < moved >  From (90,81)
attacker: name= Tesla Tank  | position= (90,83) : 41 : 41 | Health=1000  < moved >  From (90,82)
attacker: name= Tesla Tank  | position= (90,84) : 41 : 41 | Health=1000  < moved >  From (90,83)
attacker: name= Tesla Tank  | position= (90,85) : 41 : 41 | Health=1000  < moved >  From (90,84)
attacker: name= Tesla Tank  | position= (90,86) : 41 : 41 | Health=1000  < moved >  From (90,85)
attacker: name= Tesla Tank  | position= (90,87) : 41 : 41 | Health=1000  < moved >  From (90,86)
attacker: name= Tesla Tank  | position= (90,88) : 41 : 41 | Health=1000  < moved >  From (90,87)
attacker: name= Tesla Tank  | position= (90,89) : 41 : 41 | Health=1000  < moved >  From (90,88)
attacker: name= Tesla Tank  | position= (90,90) : 41 : 41 | Health=1000  < moved >  From (90,89)
attacker: name= Tesla Tank  | position= (90,89) : 41 : 41 | Health=1000  < moved >  From (90,90)
attacker: name= Tesla Tank  | position= (90,88) : 41 : 41 | Health=1000  < moved >  From (90,89)
attacker: name= Tesla Tank  | position= (90,87) : 41 : 41 | Health=1000  < moved >  From (90,88)
attacker: name= Tesla Tank  | position= (90,86) : 41 : 41 | Health=1000  < moved >  From (90,87)
attacker: name= Tesla Tank  | position= (90,85) : 41 : 41 | Health=1000  < moved >  From (90,86)
attacker: name= Tesla Tank  | position= (90,84) : 41 : 41 | Health=1000  < moved >  From (90,85)
attacker: name= Tesla Tank  | position= (90,83) : 41 : 41 | Health=1000  < moved >  From (90,84)
attacker: name= Tesla Tank  | position= (90,82) : 41 : 41 | Health=1000  < moved >  From (90,83)
attacker: name= Tesla Tank  | position= (90,81) : 41 : 41 | Health=1000  < moved >  From (90,82)
attacker: name= Tesla Tank  | position= (90,80) : 41 : 41 | Health=1000  < moved >  From (90,81)
attacker: name= Tesla Tank  | position= (90,79) : 41 : 41 | Health=1000  < moved >  From (90,80)
attacker: name= Tesla Tank  | position= (90,78) : 41 : 41 | Health=1000  < moved >  From (90,79)
attacker: name= Tesla Tank  | position= (90,77) : 41 : 41 | Health=1000  < moved >  From (90,78)
attacker: name= Tesla Tank  | position= (90,76) : 41 : 41 | Health=1000  < moved >  From (90,77)
attacker: name= Tesla Tank  | position= (90,75) : 41 : 41 | Health=1000  < moved >  From (90,76)
attacker: name= Tesla Tank  | position= (90,74) : 41 : 41 | Health=1000  < moved >  From (90,75)
attacker: name= Tesla Tank  | position= (90,73) : 41 : 41 | Health=1000  < moved >  From (90,74)
attacker: name= Tesla Tank  | position= (90,72) : 41 : 41 | Health=1000  < moved >  From (90,73)
attacker: name= Tesla Tank  | position= (90,71) : 41 : 41 | Health=1000  < moved >  From (90,72)
attacker: name= Tesla Tank  | position= (90,70) : 41 : 41 | Health=1000  < moved >  From (90,71)
attacker: name= Tesla Tank  | position= (90,69) : 41 : 41 | Health=1000  < moved >  From (90,70)
attacker: name= Tesla Tank  | position= (90,68) : 41 : 41 | Health=1000  < moved >  From (90,69)
attacker: name= Tesla Tank  | position= (90,67) : 41 : 41 | Health=1000  < moved >  From (90,68)
attacker: name= Tesla Tank  | position= (90,66) : 41 : 41 | Health=1000  < moved >  From (90,67)
attacker: name= Tesla Tank  | position= (90,65) : 41 : 41 | Health=1000  < moved >  From (90,66)
attacker: name= Tesla Tank  | position= (90,64) : 41 : 41 | Health=1000  < moved >  From (90,65)
attacker: name= Tesla Tank  | position= (90,63) : 41 : 41 | Health=1000  < moved >  From (90,64)
attacker: name= Tesla Tank  | position= (90,62) : 41 : 41 | Health=1000  < moved >  From (90,63)
attacker: name= Tesla Tank  | position= (90,61) : 41 : 41 | Health=1000  < moved >  From (90,62)
attacker: name= Tesla Tank  | position= (90,60) : 41 : 41 | Health=1000  < moved >  From (90,61)
attacker: name= Tesla Tank  | position= (90,59) : 41 : 41 | Health=1000  < moved >  From (90,60)
attacker: name= Tesla Tank  | position= (90,58) : 41 : 41 | Health=1000  < moved >  From (90,59)
attacker: name= Tesla Tank  | position= (90,57) : 41 : 41 | Health=1000  < moved >  From (90,58)
attacker: name= Tesla Tank  | position= (90,56) : 41 : 41 | Health=1000  < moved >  From (90,57)
attacker: name= Tesla Tank  | position= (90,55) : 41 : 41 | Health=1000  < moved >  From (90,56)
attacker: name= Tesla Tank  | position= (90,54) : 41 : 41 | Health=1000  < moved >  From (90,55)
attacker: name= Tesla Tank  | position= (90,53) : 41 : 41 | Health=1000  < moved >  From (90,54)
attacker: name= Tesla Tank  | position= (90,52) : 41 : 41 | Health=1000  < moved >  From (90,53)
attacker: name= Tesla Tank  | position= (90,51) : 41 : 41 | Health=1000  < moved >  From (90,52)
attacker: name= Tesla Tank  | position= (90,50) : 41 : 41 | Health=1000  < moved >  From (90,51)
attacker: name= Tesla Tank  | position= (90,49) : 41 : 41 | Health=1000  < moved >  From (90,50)
attacker: name= Tesla Tank  | position= (91,49) : 41 : 41 | Health=1000  < moved >  From (90,49)
attacker: name= Tesla Tank  | position= (92,49) : 41 : 41 | Health=1000  < moved >  From (91,49)
attacker: name= Tesla Tank  | position= (93,49) : 41 : 41 | Health=1000  < moved >  From (92,49)
attacker: name= Tesla Tank  | position= (94,49) : 41 : 41 | Health=1000  < moved >  From (93,49)
attacker: name= Tesla Tank  | position= (95,49) : 41 : 41 | Health=1000  < moved >  From (94,49)
attacker: name= Tesla Tank  | position= (96,49) : 41 : 41 | Health=1000  < moved >  From (95,49)
attacker: name= Tesla Tank  | position= (97,49) : 41 : 41 | Health=1000  < moved >  From (96,49)
attacker: name= Tesla Tank  | position= (98,49) : 41 : 41 | Health=1000  < moved >  From (97,49)
attacker: name= Tesla Tank  | position= (99,49) : 41 : 41 | Health=1000  < moved >  From (98,49)
attacker: name= Tesla Tank  | position= (100,49) : 41 : 41 | Health=1000  < moved >  From (99,49)
attacker: name= Tesla Tank  | position= (101,49) : 41 : 41 | Health=1000  < moved >  From (100,49)
attacker: name= Tesla Tank  | position= (102,49) : 41 : 41 | Health=1000  < moved >  From (101,49)
attacker: name= Tesla Tank  | position= (103,49) : 41 : 41 | Health=1000  < moved >  From (102,49)
attacker: name= Tesla Tank  | position= (104,49) : 41 : 41 | Health=1000  < moved >  From (103,49)
attacker: name= Tesla Tank  | position= (105,49) : 41 : 41 | Health=1000  < moved >  From (104,49)
attacker: name= Tesla Tank  | position= (106,49) : 41 : 41 | Health=1000  < moved >  From (105,49)
attacker: name= Tesla Tank  | position= (107,49) : 41 : 41 | Health=1000  < moved >  From (106,49)
attacker: name= Tesla Tank  | position= (108,49) : 41 : 41 | Health=1000  < moved >  From (107,49)
attacker: name= Tesla Tank  | position= (109,49) : 41 : 41 | Health=1000  < moved >  From (108,49)
attacker: name= Tesla Tank  | position= (110,49) : 41 : 41 | Health=1000  < moved >  From (109,49)
attacker: name= Tesla Tank  | position= (111,49) : 41 : 41 | Health=1000  < moved >  From (110,49)
attacker: name= Tesla Tank  | position= (112,49) : 41 : 41 | Health=1000  < moved >  From (111,49)
attacker: name= Tesla Tank  | position= (113,49) : 41 : 41 | Health=1000  < moved >  From (112,49)
attacker: name= Tesla Tank  | position= (114,49) : 41 : 41 | Health=1000  < moved >  From (113,49)
attacker: name= Tesla Tank  | position= (115,49) : 41 : 41 | Health=1000  < moved >  From (114,49)
attacker: name= Tesla Tank  | position= (116,49) : 41 : 41 | Health=1000  < moved >  From (115,49)
attacker: name= Tesla Tank  | position= (117,49) : 41 : 41 | Health=1000  < moved >  From (116,49)
attacker: name= Tesla Tank  | position= (118,49) : 41 : 41 | Health=1000  < moved >  From (117,49)
attacker: name= Tesla Tank  | position= (119,49) : 41 : 41 | Health=1000  < moved >  From (118,49)
attacker: name= Tesla Tank  | position= (120,49) : 41 : 41 | Health=1000  < moved >  From (119,49)
attacker: name= Tesla Tank  | position= (121,49) : 41 : 41 | Health=1000  < moved >  From (120,49)
attacker: name= Tesla Tank  | position= (122,49) : 41 : 41 | Health=1000  < moved >  From (121,49)
attacker: name= Tesla Tank  | position= (123,49) : 41 : 41 | Health=1000  < moved >  From (122,49)
attacker: name= Tesla Tank  | position= (124,49) : 41 : 41 | Health=1000  < moved >  From (123,49)
attacker: name= Tesla Tank  | position= (125,49) : 41 : 41 | Health=1000  < moved >  From (124,49)
attacker: name= Tesla Tank  | position= (126,49) : 41 : 41 | Health=1000  < moved >  From (125,49)
attacker: name= Tesla Tank  | position= (127,49) : 41 : 41 | Health=1000  < moved >  From (126,49)
attacker: name= Tesla Tank  | position= (128,49) : 41 : 41 | Health=1000  < moved >  From (127,49)
attacker: name= Tesla Tank  | position= (129,49) : 41 : 41 | Health=1000  < moved >  From (128,49)
The Time is up Attackers Lost
 _______________________________		The End		_______________________________ 
name= base | position= (100,100) : 101 : 101 | Health=10000 Placesd
name= river | position= (0,250) : 1000 : 40 Placesd
name= river | position= (0,250) : 1000 : 40 miss placed so removed 
defender: name= rocket Tank  | position= (100,205) : 21 : 21 | Health=1000 Placesd
attacker: name= Tesla tank  | position= (50,349) : 41 : 41 | Health=1000  < moved >  From (50,350)
attacker: name= Tesla tank  | position= (50,348) : 41 : 41 | Health=1000  < moved >  From (50,349)
attacker: name= Tesla tank  | position= (50,347) : 41 : 41 | Health=1000  < moved >  From (50,348)
attacker: name= Tesla tank  | position= (50,346) : 41 : 41 | Health=1000  < moved >  From (50,347)
attacker: name= Tesla tank  | position= (50,345) : 41 : 41 | Health=1000  < moved >  From (50,346)
attacker: name= Tesla tank  | position= (50,344) : 41 : 41 | Health=1000  < moved >  From (50,345)
attacker: name= Tesla tank  | position= (50,343) : 41 : 41 | Health=1000  < moved >  From (50,344)
attacker: name= Tesla tank  | position= (50,342) : 41 : 41 | Health=1000  < moved >  From (50,343)
attacker: name= Tesla tank  | position= (50,341) : 41 : 41 | Health=1000  < moved >  From (50,342)
attacker: name= Tesla tank  | position= (50,340) : 41 : 41 | Health=1000  < moved >  From (50,341)
attacker: name= Tesla tank  | position= (50,339) : 41 : 41 | Health=1000  < moved >  From (50,340)
attacker: name= Tesla tank  | position= (50,338) : 41 : 41 | Health=1000  < moved >  From (50,339)
attacker: name= Tesla tank  | position= (50,337) : 41 : 41 | Health=1000  < moved >  From (50,338)
attacker: name= Tesla tank  | position= (50,336) : 41 : 41 | Health=1000  < moved >  From (50,337)
attacker: name= Tesla tank  | position= (50,335) : 41 : 41 | Health=1000  < moved >  From (50,336)
attacker: name= Tesla tank  | position= (50,334) : 41 : 41 | Health=1000  < moved >  From (50,335)
attacker: name= Tesla tank  | position= (50,333) : 41 : 41 | Health=1000  < moved >  From (50,334)
attacker: name= Tesla tank  | position= (50,332) : 41 : 41 | Health=1000  < moved >  From (50,333)
attacker: name= Tesla tank  | position= (50,331) : 41 : 41 | Health=1000  < moved >  From (50,332)
attacker: name= Tesla tank  | position= (50,330) : 41 : 41 | Health=1000  < moved >  From (50,331)
attacker: name= Tesla tank  | position= (50,329) : 41 : 41 | Health=1000  < moved >  From (50,330)
attacker: name= Tesla tank  | position= (50,328) : 41 : 41 | Health=1000  < moved >  From (50,329)
attacker: name= Tesla tank  | position= (50,327) : 41 : 41 | Health=1000  < moved >  From (50,328)
attacker: name= Tesla tank  | position= (50,326) : 41 : 41 | Health=1000  < moved >  From (50,327)
attacker: name= Tesla tank  | position= (50,325) : 41 : 41 | Health=1000  < moved >  From (50,326)
attacker: name= Tesla tank  | position= (50,324) : 41 : 41 | Health=1000  < moved >  From (50,325)
attacker: name= Tesla tank  | position= (50,323) : 41 : 41 | Health=1000  < moved >  From (50,324)
attacker: name= Tesla tank  | position= (50,322) : 41 : 41 | Health=1000  < moved >  From (50,323)
attacker: name= Tesla tank  | position= (50,321) : 41 : 41 | Health=1000  < moved >  From (50,322)
attacker: name= Tesla tank  | position= (50,320) : 41 : 41 | Health=1000  < moved >  From (50,321)
attacker: name= Tesla tank  | position= (50,319) : 41 : 41 | Health=1000  < moved >  From (50,320)
attacker: name= Tesla tank  | position= (50,318) : 41 : 41 | Health=1000  < moved >  From (50,319)
attacker: name= Tesla tank  | position= (50,317) : 41 : 41 | Health=1000  < moved >  From (50,318)
attacker: name= Tesla tank  | position= (50,316) : 41 : 41 | Health=1000  < moved >  From (50,317)
attacker: name= Tesla tank  | position= (50,315) : 41 : 41 | Health=1000  < moved >  From (50,316)
attacker: name= Tesla tank  | position= (50,314) : 41 : 41 | Health=1000  < moved >  From (50,315)
attacker: name= Tesla tank  | position= (50,313) : 41 : 41 | Health=1000  < moved >  From (50,314)
attacker: name= Tesla tank  | position= (50,312) : 41 : 41 | Health=1000  < moved >  From (50,313)
attacker: name= Tesla tank  | position= (50,311) : 41 : 41 | Health=1000  < moved >  From (50,312)
attacker: name= Tesla tank  | position= (50,310) : 41 : 41 | Health=1000  < moved >  From (50,311)
attacker: name= Tesla tank  | position= (50,309) : 41 : 41 | Health=1000  < moved >  From (50,310)
name= base | position= (100,100) : 101 : 101 | Health=10000 Placesd
name= river | position= (0,250) : 1000 : 40 Placesd
name= river | position= (0,250) : 1000 : 40 miss placed so removed 
defender: name= rocket Tank  | position= (100,205) : 21 : 21 | Health=1000 Placesd
attacker: name= Tesla tank  | position= (50,349) : 41 : 41 | Health=1000  < moved >  From (50,350)
attacker: name= Tesla tank  | position= (50,348) : 41 : 41 | Health=1000  < moved >  From (50,349)
attacker: name= Tesla tank  | position= (50,347) : 41 : 41 | Health=1000  < moved >  From (50,348)
attacker: name= Tesla tank  | position= (50,346) : 41 : 41 | Health=1000  < moved >  From (50,347)
attacker: name= Tesla tank  | position= (50,345) : 41 : 41 | Health=1000  < moved >  From (50,346)
attacker: name= Tesla tank  | position= (50,344) : 41 : 41 | Health=1000  < moved >  From (50,345)
attacker: name= Tesla tank  | position= (50,343) : 41 : 41 | Health=1000  < moved >  From (50,344)
attacker: name= Tesla tank  | position= (50,342) : 41 : 41 | Health=1000  < moved >  From (50,343)
attacker: name= Tesla tank  | position= (50,341) : 41 : 41 | Health=1000  < moved >  From (50,342)
attacker: name= Tesla tank  | position= (50,340) : 41 : 41 | Health=1000  < moved >  From (50,341)
attacker: name= Tesla tank  | position= (50,339) : 41 : 41 | Health=1000  < moved >  From (50,340)
attacker: name= Tesla tank  | position= (50,338) : 41 : 41 | Health=1000  < moved >  From (50,339)
attacker: name= Tesla tank  | position= (50,337) : 41 : 41 | Health=1000  < moved >  From (50,338)
attacker: name= Tesla tank  | position= (50,336) : 41 : 41 | Health=1000  < moved >  From (50,337)
attacker: name= Tesla tank  | position= (50,335) : 41 : 41 | Health=1000  < moved >  From (50,336)
attacker: name= Tesla tank  | position= (50,334) : 41 : 41 | Health=1000  < moved >  From (50,335)
attacker: name= Tesla tank  | position= (50,333) : 41 : 41 | Health=1000  < moved >  From (50,334)
attacker: name= Tesla tank  | position= (50,332) : 41 : 41 | Health=1000  < moved >  From (50,333)
attacker: name= Tesla tank  | position= (50,331) : 41 : 41 | Health=1000  < moved >  From (50,332)
attacker: name= Tesla tank  | position= (50,330) : 41 : 41 | Health=1000  < moved >  From (50,331)
attacker: name= Tesla tank  | position= (50,329) : 41 : 41 | Health=1000  < moved >  From (50,330)
attacker: name= Tesla tank  | position= (50,328) : 41 : 41 | Health=1000  < moved >  From (50,329)
attacker: name= Tesla tank  | position= (50,327) : 41 : 41 | Health=1000  < moved >  From (50,328)
name= base | position= (100,100) : 101 : 101 | Health=10000 Placesd
name= river | position= (0,250) : 1000 : 40 Placesd
name= river | position= (0,250) : 1000 : 40 miss placed so removed 
defender: name= rocket Tank  | position= (100,205) : 21 : 21 | Health=1000 Placesd
attacker: name= Tesla tank  | position= (50,349) : 41 : 41 | Health=1000  < moved >  From (50,350)
attacker: name= Tesla tank  | position= (50,348) : 41 : 41 | Health=1000  < moved >  From (50,349)
attacker: name= Tesla tank  | position= (50,347) : 41 : 41 | Health=1000  < moved >  From (50,348)
attacker: name= Tesla tank  | position= (50,346) : 41 : 41 | Health=1000  < moved >  From (50,347)
attacker: name= Tesla tank  | position= (50,345) : 41 : 41 | Health=1000  < moved >  From (50,346)
attacker: name= Tesla tank  | position= (50,344) : 41 : 41 | Health=1000  < moved >  From (50,345)
attacker: name= Tesla tank  | position= (50,343) : 41 : 41 | Health=1000  < moved >  From (50,344)
attacker: name= Tesla tank  | position= (50,342) : 41 : 41 | Health=1000  < moved >  From (50,343)
attacker: name= Tesla tank  | position= (50,341) : 41 : 41 | Health=1000  < moved >  From (50,342)
attacker: name= Tesla tank  | position= (50,340) : 41 : 41 | Health=1000  < moved >  From (50,341)
attacker: name= Tesla tank  | position= (50,339) : 41 : 41 | Health=1000  < moved >  From (50,340)
attacker: name= Tesla tank  | position= (50,338) : 41 : 41 | Health=1000  < moved >  From (50,339)
attacker: name= Tesla tank  | position= (50,337) : 41 : 41 | Health=1000  < moved >  From (50,338)
attacker: name= Tesla tank  | position= (50,336) : 41 : 41 | Health=1000  < moved >  From (50,337)
attacker: name= Tesla tank  | position= (50,335) : 41 : 41 | Health=1000  < moved >  From (50,336)
attacker: name= Tesla tank  | position= (50,334) : 41 : 41 | Health=1000  < moved >  From (50,335)
attacker: name= Tesla tank  | position= (50,333) : 41 : 41 | Health=1000  < moved >  From (50,334)
attacker: name= Tesla tank  | position= (50,332) : 41 : 41 | Health=1000  < moved >  From (50,333)
attacker: name= Tesla tank  | position= (50,331) : 41 : 41 | Health=1000  < moved >  From (50,332)
attacker: name= Tesla tank  | position= (50,330) : 41 : 41 | Health=1000  < moved >  From (50,331)
attacker: name= Tesla tank  | position= (50,329) : 41 : 41 | Health=1000  < moved >  From (50,330)
attacker: name= Tesla tank  | position= (50,328) : 41 : 41 | Health=1000  < moved >  From (50,329)
attacker: name= Tesla tank  | position= (50,327) : 41 : 41 | Health=1000  < moved >  From (50,328)
attacker: name= Tesla tank  | position= (50,326) : 41 : 41 | Health=1000  < moved >  From (50,327)
attacker: name= Tesla tank  | position= (50,325) : 41 : 41 | Health=1000  < moved >  From (50,326)
attacker: name= Tesla tank  | position= (50,324) : 41 : 41 | Health=1000  < moved >  From (50,325)
attacker: name= Tesla tank  | position= (50,323) : 41 : 41 | Health=1000  < moved >  From (50,324)
attacker: name= Tesla tank  | position= (50,322) : 41 : 41 | Health=1000  < moved >  From (50,323)
attacker: name= Tesla tank  | position= (50,321) : 41 : 41 | Health=1000  < moved >  From (50,322)
attacker: name= Tesla tank  | position= (50,320) : 41 : 41 | Health=1000  < moved >  From (50,321)
attacker: name= Tesla tank  | position= (50,319) : 41 : 41 | Health=1000  < moved >  From (50,320)
attacker: name= Tesla tank  | position= (50,318) : 41 : 41 | Health=1000  < moved >  From (50,319)
attacker: name= Tesla tank  | position= (50,317) : 41 : 41 | Health=1000  < moved >  From (50,318)
attacker: name= Tesla tank  | position= (50,316) : 41 : 41 | Health=1000  < moved >  From (50,317)
attacker: name= Tesla tank  | position= (50,315) : 41 : 41 | Health=1000  < moved >  From (50,316)
attacker: name= Tesla tank  | position= (50,314) : 41 : 41 | Health=1000  < moved >  From (50,315)
attacker: name= Tesla tank  | position= (50,313) : 41 : 41 | Health=1000  < moved >  From (50,314)
attacker: name= Tesla tank  | position= (50,312) : 41 : 41 | Health=1000  < moved >  From (50,313)
attacker: name= Tesla tank  | position= (50,311) : 41 : 41 | Health=1000  < moved >  From (50,312)
attacker: name= Tesla tank  | position= (50,310) : 41 : 41 | Health=1000  < moved >  From (50,311)
attacker: name= Tesla tank  | position= (50,309) : 41 : 41 | Health=1000  < moved >  From (50,310)
attacker: name= Tesla tank  | position= (50,308) : 41 : 41 | Health=1000  < moved >  From (50,309)
attacker: name= Tesla tank  | position= (50,307) : 41 : 41 | Health=1000  < moved >  From (50,308)
attacker: name= Tesla tank  | position= (50,306) : 41 : 41 | Health=1000  < moved >  From (50,307)
attacker: name= Tesla tank  | position= (50,305) : 41 : 41 | Health=1000  < moved >  From (50,306)
attacker: name= Tesla tank  | position= (50,304) : 41 : 41 | Health=1000  < moved >  From (50,305)
attacker: name= Tesla tank  | position= (50,303) : 41 : 41 | Health=1000  < moved >  From (50,304)
attacker: name= Tesla tank  | position= (50,302) : 41 : 41 | Health=1000  < moved >  From (50,303)
attacker: name= Tesla tank  | position= (50,301) : 41 : 41 | Health=1000  < moved >  From (50,302)
attacker: name= Tesla tank  | position= (50,300) : 41 : 41 | Health=1000  < moved >  From (50,301)
attacker: name= Tesla tank  | position= (50,299) : 41 : 41 | Health=1000  < moved >  From (50,300)
attacker: name= Tesla tank  | position= (50,298) : 41 : 41 | Health=1000  < moved >  From (50,299)
attacker: name= Tesla tank  | position= (50,297) : 41 : 41 | Health=1000  < moved >  From (50,298)
attacker: name= Tesla tank  | position= (50,296) : 41 : 41 | Health=1000  < moved >  From (50,297)
attacker: name= Tesla tank  | position= (50,295) : 41 : 41 | Health=1000  < moved >  From (50,296)
attacker: name= Tesla tank  | position= (50,294) : 41 : 41 | Health=1000  < moved >  From (50,295)
attacker: name= Tesla tank  | position= (50,293) : 41 : 41 | Health=1000  < moved >  From (50,294)
attacker: name= Tesla tank  | position= (50,292) : 41 : 41 | Health=1000  < moved >  From (50,293)
attacker: name= Tesla tank  | position= (50,291) : 41 : 41 | Health=1000  < moved >  From (50,292)
attacker: name= Tesla tank  | position= (50,290) : 41 : 41 | Health=1000  < moved >  From (50,291)
attacker: name= Tesla tank  | position= (50,289) : 41 : 41 | Health=1000  < moved >  From (50,290)
attacker: name= Tesla tank  | position= (50,288) : 41 : 41 | Health=1000  < moved >  From (50,289)
attacker: name= Tesla tank  | position= (50,287) : 41 : 41 | Health=1000  < moved >  From (50,288)
attacker: name= Tesla tank  | position= (50,286) : 41 : 41 | Health=1000  < moved >  From (50,287)
attacker: name= Tesla tank  | position= (50,285) : 41 : 41 | Health=1000  < moved >  From (50,286)
attacker: name= Tesla tank  | position= (50,284) : 41 : 41 | Health=1000  < moved >  From (50,285)
attacker: name= Tesla tank  | position= (50,283) : 41 : 41 | Health=1000  < moved >  From (50,284)
attacker: name= Tesla tank  | position= (50,282) : 41 : 41 | Health=1000  < moved >  From (50,283)
attacker: name= Tesla tank  | position= (50,281) : 41 : 41 | Health=1000  < moved >  From (50,282)
attacker: name= Tesla tank  | position= (50,280) : 41 : 41 | Health=1000  < moved >  From (50,281)
attacker: name= Tesla tank  | position= (50,279) : 41 : 41 | Health=1000  < moved >  From (50,280)
attacker: name= Tesla tank  | position= (50,278) : 41 : 41 | Health=1000  < moved >  From (50,279)
attacker: name= Tesla tank  | position= (50,277) : 41 : 41 | Health=1000  < moved >  From (50,278)
attacker: name= Tesla tank  | position= (50,276) : 41 : 41 | Health=1000  < moved >  From (50,277)
attacker: name= Tesla tank  | position= (50,275) : 41 : 41 | Health=1000  < moved >  From (50,276)
attacker: name= Tesla tank  | position= (50,274) : 41 : 41 | Health=1000  < moved >  From (50,275)
attacker: name= Tesla tank  | position= (50,273) : 41 : 41 | Health=1000  < moved >  From (50,274)
